algorithm,size,seconds,speedup
gpu_radix_sort_opt_2,16777216,0.05220,3.573
bitonic_sort,16777216,0.00583,31.969
thrust_sort,16777216,0.00264,70.547
radix_sort_tbb,16777216,0.03676,5.272
gpu_radix_sort_opt_2,16777216,0.05368,3.610
bitonic_sort,16777216,0.00585,33.111
thrust_sort,16777216,0.00306,63.310
radix_sort_tbb,16777216,0.03899,6.589
gpu_radix_sort_opt_2,16777216,0.05321,4.828
bitonic_sort,16777216,0.00585,43.902
thrust_sort,16777216,0.00302,85.015
radix_sort_tbb,16777216,0.03543,6.222
gpu_radix_sort_opt_2,16777216,0.05226,4.218
bitonic_sort,16777216,0.00584,37.761
thrust_sort,16777216,0.00260,84.660
radix_sort_tbb,16777216,0.03420,5.966
gpu_radix_sort_opt_2,16777216,0.05321,3.835
bitonic_sort,16777216,0.00585,34.878
thrust_sort,16777216,0.00298,68.442
radix_sort_tbb,16777216,0.03686,6.507
gpu_radix_sort_opt_2,16777216,0.05322,4.507
bitonic_sort,16777216,0.00585,41.002
thrust_sort,16777216,0.00300,79.925
radix_sort_tbb,16777216,0.03581,6.245
gpu_radix_sort_opt_2,16777216,0.05336,4.191
bitonic_sort,16777216,0.00585,38.231
thrust_sort,16777216,0.00301,74.221
radix_sort_tbb,16777216,0.03279,5.892
gpu_radix_sort_opt_2,16777216,0.05322,3.630
bitonic_sort,16777216,0.00585,33.019
thrust_sort,16777216,0.00300,64.398
radix_sort_tbb,16777216,0.03268,6.095
gpu_radix_sort_opt_2,16777216,0.05226,3.811
bitonic_sort,16777216,0.00584,34.115
thrust_sort,16777216,0.00261,76.336
radix_sort_tbb,16777216,0.03244,5.857
gpu_radix_sort_opt_2,16777216,0.05321,3.571
bitonic_sort,16777216,0.00585,32.476
thrust_sort,16777216,0.00298,63.755
radix_sort_tbb,16777216,0.04367,4.864
gpu_radix_sort_opt_2,16777216,0.05332,3.984
bitonic_sort,16777216,0.00584,36.404
thrust_sort,16777216,0.00265,80.065
radix_sort_tbb,16777216,0.03694,5.796
gpu_radix_sort_opt_2,16777216,0.05337,4.011
bitonic_sort,16777216,0.00585,36.602
thrust_sort,16777216,0.00297,71.963
radix_sort_tbb,16777216,0.03252,6.819
gpu_radix_sort_opt_2,16777216,0.05228,4.242
bitonic_sort,16777216,0.00585,37.900
thrust_sort,16777216,0.00265,83.620
radix_sort_tbb,16777216,0.03424,6.040
gpu_radix_sort_opt_2,16777216,0.05334,3.877
bitonic_sort,16777216,0.00588,35.142
thrust_sort,16777216,0.00301,68.728
radix_sort_tbb,16777216,0.03701,5.789
gpu_radix_sort_opt_2,16777216,0.05241,4.089
bitonic_sort,16777216,0.00587,36.520
thrust_sort,16777216,0.00265,80.961
radix_sort_tbb,16777216,0.03434,6.190
gpu_radix_sort_opt_2,16777216,0.05335,3.985
bitonic_sort,16777216,0.00588,36.143
thrust_sort,16777216,0.00300,70.887
radix_sort_tbb,16777216,0.03657,6.036
gpu_radix_sort_opt_2,16777216,0.05256,4.200
bitonic_sort,16777216,0.00587,37.588
thrust_sort,16777216,0.00263,83.906
radix_sort_tbb,16777216,0.03484,6.104
gpu_radix_sort_opt_2,16777216,0.05349,3.976
bitonic_sort,16777216,0.00588,36.145
thrust_sort,16777216,0.00303,70.307
radix_sort_tbb,16777216,0.03513,6.287
gpu_radix_sort_opt_2,16777216,0.05242,4.212
bitonic_sort,16777216,0.00587,37.600
thrust_sort,16777216,0.00262,84.154
radix_sort_tbb,16777216,0.03656,6.046
gpu_radix_sort_opt_2,16777216,0.05337,4.142
bitonic_sort,16777216,0.00598,36.969
thrust_sort,16777216,0.00297,74.503
radix_sort_tbb,16777216,0.03374,6.400
gpu_radix_sort_opt_2,16777216,0.05241,4.120
bitonic_sort,16777216,0.00587,36.784
thrust_sort,16777216,0.00263,82.072
radix_sort_tbb,16777216,0.03616,6.000
gpu_radix_sort_opt_2,16777216,0.05342,4.062
bitonic_sort,16777216,0.00588,36.870
thrust_sort,16777216,0.00298,72.834
radix_sort_tbb,16777216,0.03766,5.777
gpu_radix_sort_opt_2,16777216,0.05338,4.076
bitonic_sort,16777216,0.00588,36.967
thrust_sort,16777216,0.00306,70.998
radix_sort_tbb,16777216,0.03437,6.382
gpu_radix_sort_opt_2,16777216,0.05245,4.182
bitonic_sort,16777216,0.00587,37.352
thrust_sort,16777216,0.00263,83.336
radix_sort_tbb,16777216,0.03385,5.681
gpu_radix_sort_opt_2,16777216,0.05346,3.597
bitonic_sort,16777216,0.00588,32.710
thrust_sort,16777216,0.00298,64.592
radix_sort_tbb,16777216,0.03358,5.943
gpu_radix_sort_opt_2,16777216,0.05364,3.721
bitonic_sort,16777216,0.00587,33.991
thrust_sort,16777216,0.00262,76.254
radix_sort_tbb,16777216,0.03304,6.007
gpu_radix_sort_opt_2,16777216,0.05342,3.716
bitonic_sort,16777216,0.00588,33.741
thrust_sort,16777216,0.00301,66.034
radix_sort_tbb,16777216,0.03243,6.380
gpu_radix_sort_opt_2,16777216,0.05341,3.874
bitonic_sort,16777216,0.00588,35.175
thrust_sort,16777216,0.00298,69.363
radix_sort_tbb,16777216,0.03294,6.070
gpu_radix_sort_opt_2,16777216,0.05238,3.818
bitonic_sort,16777216,0.00587,34.053
thrust_sort,16777216,0.00263,75.940
radix_sort_tbb,16777216,0.03314,6.000
gpu_radix_sort_opt_2,16777216,0.05333,3.729
bitonic_sort,16777216,0.00588,33.800
thrust_sort,16777216,0.00298,66.758
radix_sort_tbb,16777216,0.03339,5.979
gpu_radix_sort_opt_2,16777216,0.05242,3.808
bitonic_sort,16777216,0.00588,33.978
thrust_sort,16777216,0.00264,75.670
radix_sort_tbb,16777216,0.03327,6.007
gpu_radix_sort_opt_2,16777216,0.05339,3.743
bitonic_sort,16777216,0.00588,33.966
thrust_sort,16777216,0.00298,67.087
radix_sort_tbb,16777216,0.03243,6.202
gpu_radix_sort_opt_2,16777216,0.05338,3.768
bitonic_sort,16777216,0.00589,34.154
thrust_sort,16777216,0.00264,76.268
radix_sort_tbb,16777216,0.03376,5.924
gpu_radix_sort_opt_2,16777216,0.05334,3.749
bitonic_sort,16777216,0.00588,33.995
thrust_sort,16777216,0.00299,66.951
radix_sort_tbb,16777216,0.03369,6.002
gpu_radix_sort_opt_2,16777216,0.05334,3.791
bitonic_sort,16777216,0.00589,34.335
thrust_sort,16777216,0.00302,66.932
radix_sort_tbb,16777216,0.03300,6.117
gpu_radix_sort_opt_2,16777216,0.05334,3.784
bitonic_sort,16777216,0.00588,34.314
thrust_sort,16777216,0.00301,67.177
radix_sort_tbb,16777216,0.03340,6.035
gpu_radix_sort_opt_2,16777216,0.05240,3.846
bitonic_sort,16777216,0.00587,34.331
thrust_sort,16777216,0.00264,76.465
radix_sort_tbb,16777216,0.03473,5.772
gpu_radix_sort_opt_2,16777216,0.05336,3.758
bitonic_sort,16777216,0.00588,34.086
thrust_sort,16777216,0.00299,67.167
radix_sort_tbb,16777216,0.03288,6.090
gpu_radix_sort_opt_2,16777216,0.05335,3.754
bitonic_sort,16777216,0.00588,34.036
thrust_sort,16777216,0.00299,66.981
radix_sort_tbb,16777216,0.03275,6.118
gpu_radix_sort_opt_2,16777216,0.05240,3.824
bitonic_sort,16777216,0.00587,34.130
thrust_sort,16777216,0.00262,76.335
radix_sort_tbb,16777216,0.03392,5.914
gpu_radix_sort_opt_2,16777216,0.05334,3.760
bitonic_sort,16777216,0.00588,34.093
thrust_sort,16777216,0.00298,67.234
radix_sort_tbb,16777216,0.03243,6.261
gpu_radix_sort_opt_2,16777216,0.05241,3.874
bitonic_sort,16777216,0.00587,34.579
thrust_sort,16777216,0.00263,77.082
radix_sort_tbb,16777216,0.03432,5.976
gpu_radix_sort_opt_2,16777216,0.05334,3.845
bitonic_sort,16777216,0.00589,34.842
thrust_sort,16777216,0.00303,67.695
radix_sort_tbb,16777216,0.03357,5.961
gpu_radix_sort_opt_2,16777216,0.05334,3.752
bitonic_sort,16777216,0.00589,33.985
thrust_sort,16777216,0.00274,73.087
radix_sort_tbb,16777216,0.03334,6.316
gpu_radix_sort_opt_2,16777216,0.05333,3.948
bitonic_sort,16777216,0.00588,35.792
thrust_sort,16777216,0.00300,70.187
radix_sort_tbb,16777216,0.03325,6.068
gpu_radix_sort_opt_2,16777216,0.05331,3.785
bitonic_sort,16777216,0.00588,34.298
thrust_sort,16777216,0.00302,66.901
radix_sort_tbb,16777216,0.03414,5.882
gpu_radix_sort_opt_2,16777216,0.05240,3.832
bitonic_sort,16777216,0.00587,34.197
thrust_sort,16777216,0.00263,76.268
radix_sort_tbb,16777216,0.03350,6.049
gpu_radix_sort_opt_2,16777216,0.05336,3.798
bitonic_sort,16777216,0.00588,34.467
thrust_sort,16777216,0.00298,68.051
radix_sort_tbb,16777216,0.03320,5.993
gpu_radix_sort_opt_2,16777216,0.05238,3.798
bitonic_sort,16777216,0.00587,33.887
thrust_sort,16777216,0.00265,75.188
radix_sort_tbb,16777216,0.03266,6.114
gpu_radix_sort_opt_2,16777216,0.05337,3.742
bitonic_sort,16777216,0.00588,33.933
thrust_sort,16777216,0.00298,67.053
radix_sort_tbb,16777216,0.03371,5.939
gpu_radix_sort_opt_2,16777216,0.05338,3.751
bitonic_sort,16777216,0.00587,34.092
thrust_sort,16777216,0.00263,76.200
radix_sort_tbb,16777216,0.03253,6.185
gpu_radix_sort_opt_2,16777216,0.05338,3.769
bitonic_sort,16777216,0.00589,34.165
thrust_sort,16777216,0.00296,67.945
radix_sort_tbb,16777216,0.03286,6.113
gpu_radix_sort_opt_2,16777216,0.05341,3.762
bitonic_sort,16777216,0.00589,34.119
thrust_sort,16777216,0.00303,66.258
radix_sort_tbb,16777216,0.03372,6.029
gpu_radix_sort_opt_2,16777216,0.05337,3.809
bitonic_sort,16777216,0.00589,34.513
thrust_sort,16777216,0.00303,67.045
radix_sort_tbb,16777216,0.03470,5.700
gpu_radix_sort_opt_2,16777216,0.05342,3.702
bitonic_sort,16777216,0.00589,33.600
thrust_sort,16777216,0.00308,64.130
radix_sort_tbb,16777216,0.03363,5.767
gpu_radix_sort_opt_2,16777216,0.05334,3.636
bitonic_sort,16777216,0.00589,32.925
thrust_sort,16777216,0.00301,64.357
radix_sort_tbb,16777216,0.03328,6.038
gpu_radix_sort_opt_2,16777216,0.05341,3.763
bitonic_sort,16777216,0.00588,34.160
thrust_sort,16777216,0.00302,66.563
radix_sort_tbb,16777216,0.03379,6.011
gpu_radix_sort_opt_2,16777216,0.05336,3.807
bitonic_sort,16777216,0.00588,34.527
thrust_sort,16777216,0.00261,77.796
radix_sort_tbb,16777216,0.03279,6.152
gpu_radix_sort_opt_2,16777216,0.05338,3.780
bitonic_sort,16777216,0.00588,34.289
thrust_sort,16777216,0.00301,66.963
radix_sort_tbb,16777216,0.03396,5.984
gpu_radix_sort_opt_2,16777216,0.05340,3.806
bitonic_sort,16777216,0.00587,34.624
thrust_sort,16777216,0.00265,76.575
radix_sort_tbb,16777216,0.03433,6.085
gpu_radix_sort_opt_2,16777216,0.05337,3.915
bitonic_sort,16777216,0.00588,35.503
thrust_sort,16777216,0.00300,69.687
radix_sort_tbb,16777216,0.03388,5.950
gpu_radix_sort_opt_2,16777216,0.05338,3.777
bitonic_sort,16777216,0.00589,34.258
thrust_sort,16777216,0.00299,67.337
radix_sort_tbb,16777216,0.03280,6.142
gpu_radix_sort_opt_2,16777216,0.05241,3.843
bitonic_sort,16777216,0.00587,34.310
thrust_sort,16777216,0.00264,76.356
radix_sort_tbb,16777216,0.03347,6.060
gpu_radix_sort_opt_2,16777216,0.05336,3.801
bitonic_sort,16777216,0.00588,34.489
thrust_sort,16777216,0.00302,67.231
radix_sort_tbb,16777216,0.03312,6.111
gpu_radix_sort_opt_2,16777216,0.05336,3.793
bitonic_sort,16777216,0.00588,34.398
thrust_sort,16777216,0.00301,67.278
radix_sort_tbb,16777216,0.03396,5.956
gpu_radix_sort_opt_2,16777216,0.05336,3.791
bitonic_sort,16777216,0.00588,34.382
thrust_sort,16777216,0.00299,67.637
radix_sort_tbb,16777216,0.03404,5.991
gpu_radix_sort_opt_2,16777216,0.05350,3.812
bitonic_sort,16777216,0.00588,34.669
thrust_sort,16777216,0.00299,68.328
radix_sort_tbb,16777216,0.03376,6.042
gpu_radix_sort_opt_2,16777216,0.05335,3.823
bitonic_sort,16777216,0.00588,34.663
thrust_sort,16777216,0.00263,77.637
radix_sort_tbb,16777216,0.03340,6.066
gpu_radix_sort_opt_2,16777216,0.05336,3.797
bitonic_sort,16777216,0.00588,34.437
thrust_sort,16777216,0.00298,67.957
radix_sort_tbb,16777216,0.03305,6.123
gpu_radix_sort_opt_2,16777216,0.05339,3.790
bitonic_sort,16777216,0.00589,34.368
thrust_sort,16777216,0.00299,67.678
radix_sort_tbb,16777216,0.03273,6.136
gpu_radix_sort_opt_2,16777216,0.05339,3.762
bitonic_sort,16777216,0.00588,34.144
thrust_sort,16777216,0.00304,66.140
radix_sort_tbb,16777216,0.03206,6.292
gpu_radix_sort_opt_2,16777216,0.05315,3.795
bitonic_sort,16777216,0.00588,34.293
thrust_sort,16777216,0.00301,67.125
radix_sort_tbb,16777216,0.03337,6.019
gpu_radix_sort_opt_2,16777216,0.05338,3.763
bitonic_sort,16777216,0.00589,34.119
thrust_sort,16777216,0.00299,67.176
radix_sort_tbb,16777216,0.03329,6.045
gpu_radix_sort_opt_2,16777216,0.05336,3.772
bitonic_sort,16777216,0.00588,34.223
thrust_sort,16777216,0.00301,66.977
radix_sort_tbb,16777216,0.03359,6.045
gpu_radix_sort_opt_2,16777216,0.05338,3.804
bitonic_sort,16777216,0.00589,34.460
thrust_sort,16777216,0.00261,77.777
radix_sort_tbb,16777216,0.03342,6.059
gpu_radix_sort_opt_2,16777216,0.05335,3.796
bitonic_sort,16777216,0.00588,34.416
thrust_sort,16777216,0.00301,67.185
radix_sort_tbb,16777216,0.03350,6.140
gpu_radix_sort_opt_2,16777216,0.05337,3.855
bitonic_sort,16777216,0.00588,34.961
thrust_sort,16777216,0.00302,68.050
radix_sort_tbb,16777216,0.03233,6.568
gpu_radix_sort_opt_2,16777216,0.05335,3.979
bitonic_sort,16777216,0.00588,36.097
thrust_sort,16777216,0.00298,71.175
radix_sort_tbb,16777216,0.03395,5.925
gpu_radix_sort_opt_2,16777216,0.05351,3.759
bitonic_sort,16777216,0.00588,34.193
thrust_sort,16777216,0.00301,66.898
radix_sort_tbb,16777216,0.03346,6.004
gpu_radix_sort_opt_2,16777216,0.05345,3.758
bitonic_sort,16777216,0.00589,34.126
thrust_sort,16777216,0.00261,77.060
radix_sort_tbb,16777216,0.03314,5.690
gpu_radix_sort_opt_2,16777216,0.05341,3.530
bitonic_sort,16777216,0.00588,32.052
thrust_sort,16777216,0.00302,62.501
radix_sort_tbb,16777216,0.03330,6.036
gpu_radix_sort_opt_2,16777216,0.05336,3.768
bitonic_sort,16777216,0.00588,34.173
thrust_sort,16777216,0.00264,76.240
radix_sort_tbb,16777216,0.03432,5.867
gpu_radix_sort_opt_2,16777216,0.05346,3.767
bitonic_sort,16777216,0.00588,34.238
thrust_sort,16777216,0.00299,67.416
radix_sort_tbb,16777216,0.03425,5.885
gpu_radix_sort_opt_2,16777216,0.05358,3.762
bitonic_sort,16777216,0.00588,34.251
thrust_sort,16777216,0.00299,67.343
radix_sort_tbb,16777216,0.03418,5.594
gpu_radix_sort_opt_2,16777216,0.05337,3.583
bitonic_sort,16777216,0.00589,32.478
thrust_sort,16777216,0.00299,63.879
radix_sort_tbb,16777216,0.03398,5.889
gpu_radix_sort_opt_2,16777216,0.05240,3.819
bitonic_sort,16777216,0.00588,34.054
thrust_sort,16777216,0.00265,75.666
radix_sort_tbb,16777216,0.03302,6.100
gpu_radix_sort_opt_2,16777216,0.05336,3.774
bitonic_sort,16777216,0.00588,34.239
thrust_sort,16777216,0.00298,67.517
radix_sort_tbb,16777216,0.03309,6.136
gpu_radix_sort_opt_2,16777216,0.05334,3.807
bitonic_sort,16777216,0.00588,34.510
thrust_sort,16777216,0.00301,67.395
radix_sort_tbb,16777216,0.03384,5.968
gpu_radix_sort_opt_2,16777216,0.05244,3.851
bitonic_sort,16777216,0.00587,34.380
thrust_sort,16777216,0.00266,76.034
radix_sort_tbb,16777216,0.03327,5.800
gpu_radix_sort_opt_2,16777216,0.05341,3.613
bitonic_sort,16777216,0.00588,32.799
thrust_sort,16777216,0.00304,63.466
radix_sort_tbb,16777216,0.03354,6.068
gpu_radix_sort_opt_2,16777216,0.05337,3.813
bitonic_sort,16777216,0.00588,34.599
thrust_sort,16777216,0.00298,68.314
radix_sort_tbb,16777216,0.03289,6.155
gpu_radix_sort_opt_2,16777216,0.05336,3.794
bitonic_sort,16777216,0.00588,34.405
thrust_sort,16777216,0.00298,68.024
radix_sort_tbb,16777216,0.03358,5.980
gpu_radix_sort_opt_2,16777216,0.05339,3.760
bitonic_sort,16777216,0.00589,34.116
thrust_sort,16777216,0.00262,76.751
radix_sort_tbb,16777216,0.03350,5.994
gpu_radix_sort_opt_2,16777216,0.05336,3.762
bitonic_sort,16777216,0.00588,34.134
thrust_sort,16777216,0.00300,67.036
radix_sort_tbb,16777216,0.03350,6.061
gpu_radix_sort_opt_2,16777216,0.05337,3.805
bitonic_sort,16777216,0.00588,34.517
thrust_sort,16777216,0.00299,67.888
radix_sort_tbb,16777216,0.03329,6.100
gpu_radix_sort_opt_2,16777216,0.05335,3.807
bitonic_sort,16777216,0.00588,34.513
thrust_sort,16777216,0.00300,67.691
radix_sort_tbb,16777216,0.03256,6.256
gpu_radix_sort_opt_2,16777216,0.05342,3.814
bitonic_sort,16777216,0.00589,34.613
thrust_sort,16777216,0.00312,65.361
radix_sort_tbb,16777216,0.03297,5.866
gpu_radix_sort_opt_2,16777216,0.05336,3.624
bitonic_sort,16777216,0.00588,32.867
thrust_sort,16777216,0.00298,64.875
radix_sort_tbb,16777216,0.03257,6.266
gpu_radix_sort_opt_2,16777216,0.05340,3.822
bitonic_sort,16777216,0.00589,34.641
thrust_sort,16777216,0.00297,68.638
